,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,white_player_name,white_ranking,black_player_name,black_ranking
79,EJWDq3EK,True,standard,blitz,2023-03-02 19:24:22.972000+01:00,2023-03-02 19:28:08.520000+01:00,resign,white,24,300,sahmad0812c,1745,EvilSaintPL,1769
80,Ckdg56VT,True,standard,blitz,2023-03-02 19:20:31.907000+01:00,2023-03-02 19:24:19.153000+01:00,resign,white,26,300,EvilSaintPL,1762,sahmad0812c,1751
81,NFrmnjD4,True,standard,blitz,2023-03-02 18:59:33.245000+01:00,2023-03-02 19:06:50.447000+01:00,mate,black,34,300,Khschulte,1754,EvilSaintPL,1754
82,ncPBNwgb,True,standard,blitz,2023-03-02 18:01:43.225000+01:00,2023-03-02 18:08:39.261000+01:00,resign,black,31,300,LV_hnialum,1716,EvilSaintPL,1747
83,tBufbLpL,True,standard,blitz,2023-03-02 17:57:38.365000+01:00,2023-03-02 18:01:28.716000+01:00,resign,black,21,300,EvilSaintPL,1754,Max52bis,1797
84,RNTbaqm5,True,standard,blitz,2023-03-02 17:21:51.453000+01:00,2023-03-02 17:29:24.809000+01:00,mate,white,59,300,EvilSaintPL,1746,PARLAR030906,1743
85,lvo6XKPo,True,standard,blitz,2023-02-24 02:28:46.268000+01:00,2023-02-24 02:35:41.043000+01:00,outoftime,black,20,300,Salbamen,1724,EvilSaintPL,1739
86,WmlqTiEK,True,standard,blitz,2023-02-24 02:26:14.900000+01:00,2023-02-24 02:28:09.963000+01:00,resign,white,17,300,EvilSaintPL,1730,yoobased,1739
87,XZBebkk6,True,standard,blitz,2023-02-24 02:12:57.893000+01:00,2023-02-24 02:22:55.833000+01:00,outoftime,black,41,300,kenn0727,1726,EvilSaintPL,1722
88,44CBFx7Z,True,standard,blitz,2023-02-23 05:25:09.618000+01:00,2023-02-23 05:32:28.083000+01:00,resign,white,35,300,EvilSaintPL,1714,SolovievJuri,1705
89,6dMy3mmG,True,standard,blitz,2023-02-23 05:16:40.266000+01:00,2023-02-23 05:23:42.430000+01:00,mate,white,34,300,rushfan,1738,EvilSaintPL,1722
90,Ta9VdNws,True,standard,blitz,2023-02-23 05:12:02.752000+01:00,2023-02-23 05:16:32.462000+01:00,resign,white,34,300,EvilSaintPL,1713,mansuliman,1720
91,0hkr59Ps,True,standard,blitz,2023-02-23 05:09:38.370000+01:00,2023-02-23 05:11:49.836000+01:00,resign,white,12,300,SuperFlyRabi,1823,EvilSaintPL,1720
92,D4UMm6U2,True,standard,blitz,2023-02-23 04:57:58.879000+01:00,2023-02-23 05:08:02.932000+01:00,outoftime,black,43,300,EvilSaintPL,1729,arg_nocturne,1707
93,IcOgxGB8,True,standard,blitz,2023-02-23 04:52:25.482000+01:00,2023-02-23 04:57:44.232000+01:00,resign,white,22,300,evrovitek,1714,EvilSaintPL,1739
94,UFDJXT1Q,True,standard,blitz,2023-02-23 04:46:51.228000+01:00,2023-02-23 04:51:44.342000+01:00,mate,white,20,300,EvilSaintPL,1731,lfs000,1693
95,xBaT3Uu0,True,standard,blitz,2023-02-23 04:40:41.359000+01:00,2023-02-23 04:46:42.221000+01:00,resign,white,34,300,Rafik-Saparov07,1737,EvilSaintPL,1740
96,Vn66Qgvp,True,standard,blitz,2023-02-23 04:31:01.702000+01:00,2023-02-23 04:40:34.052000+01:00,stalemate,,61,300,Jamaxa,1682,EvilSaintPL,1742
97,FT3lKvYF,True,standard,blitz,2023-02-23 04:27:58.089000+01:00,2023-02-23 04:30:18.155000+01:00,resign,black,15,300,EvilSaintPL,1752,Payta,1766
98,Yr6sO75s,True,standard,blitz,2023-02-23 02:47:07.844000+01:00,2023-02-23 02:57:28.832000+01:00,outoftime,black,72,300,Dirge432,1759,EvilSaintPL,1741
99,A0Gnq3T2,True,standard,blitz,2023-02-23 01:04:47.892000+01:00,2023-02-23 01:09:39.932000+01:00,resign,black,31,300,betanzosmh,1725,EvilSaintPL,1730
